,imaging_complete,imaging_complete,images_available,images_available,report_available,report_available,repeat_visit,repeat_visit
,count,proportion,count,proportion,count,proportion,count,proportion
YES,94.0,0.7580645161290323,54,0.43548387096774194,83,0.6693548387096774,9.0,0.07258064516129033
SOME,,,5,0.04032258064516129,2,0.016129032258064516,,
NO,29.0,0.23387096774193547,39,0.31451612903225806,12,0.0967741935483871,55.0,0.4435483870967742
N/A,,,25,0.20161290322580644,26,0.20967741935483872,41.0,0.33064516129032256
