,imaging_complete,imaging_complete,images_available,images_available,report_available,report_available,repeat_visit,repeat_visit
,count,proportion,count,proportion,count,proportion,count,proportion
YES,23.0,0.5897435897435898,14,0.358974358974359,22.0,0.5641025641025641,3.0,0.07692307692307693
SOME,,,2,0.05128205128205128,,,,
NO,15.0,0.38461538461538464,9,0.23076923076923078,3.0,0.07692307692307693,10.0,0.2564102564102564
N/A,,,13,0.3333333333333333,13.0,0.3333333333333333,17.0,0.4358974358974359
